signature,cluster_size,locator_id_stability,locator_name_stability,locator_class_stability,locator_linkText_stability,locator_partialLinkText_stability,locator_xpath_stability,locator_css_stability
a||||||99u,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||about,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adchoices,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adobe,200,0.0,0.0,0.5,1.0,1.0,0.5,0.5
a||||||adobe acrobat reader dc,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adobe air,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adobe blog,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adobe flash player,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adobe i/o,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||adobe shockwave player,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||behance,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||blogs & community,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||business,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||business solutions,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||buy now,200,0.0,0.0,1.0,1.0,1.0,0.5,0.5
a||||||careers,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||change region,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||choices,84,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cmo.com,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||community forums,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||contact adobe,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||cookies,184,0.0,0.0,1.0,1.0,1.0,0.5434782608695652,0.5434782608695652
a||||||corporate responsibility,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||create magazine,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||creative cloud,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||creativity & design,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||discover adobe sign,200,0.0,0.0,1.0,1.0,1.0,0.5,0.5
a||||||document cloud,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||download & install,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||elements 2018 family,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||enterprise support,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||events,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||experience cloud,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||help center,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||individuals,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||investor relations,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||learn how,200,0.0,0.0,1.0,1.0,1.0,0.5,0.5
a||||||learn more,400,0.0,0.0,1.0,1.0,1.0,0.25,0.25
a||||||marketing & analytics,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||nan,499,0.0,0.0,0.8016032064128257,1.0,1.0,0.20040080160320642,0.20040080160320642
a||||||newsroom,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||pdf & e-signatures,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||privacy,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||products,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||sign in,77,0.0,0.0,1.0,1.0,1.0,0.987012987012987,0.987012987012987
a||||||special offers,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||start now,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||supply chain,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||support,200,0.0,0.0,0.5,1.0,1.0,0.5,1.0
a||||||terms of use,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||trust center,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||view all,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||view all products,100,0.0,0.0,1.0,1.0,1.0,1.0,1.0
button||_evidon-accept-button||||accept,84,1.0,0.0,1.0,1.0,1.0,1.0,1.0
